trial,entry_quantile,exit_quantile,confidence_threshold,exit_confidence_threshold,min_confirmation_count,enable_range_reversion,qlib_rank_threshold,qlib_exit_rank_threshold,confidence_weight,stop_loss_scale,take_profit_scale,kelly_scale,max_leverage,initial_entry_fraction,layer_stake_fraction,max_entry_layers,reduce_stake_fraction,partial_take_profit_scale,rotation_top_n,rotation_min_score,range_entry_zone,range_exit_zone,range_qlib_rank_threshold,range_position_scale,range_leverage_cap,range_profit_capture,objective,avg_ann_pct,avg_cagr_pct,worst_dd_pct,total_trades,portfolio_return_ann_pct,portfolio_cagr_pct,portfolio_max_drawdown_pct,portfolio_trades,positive_symbols,avg_payoff_ratio,folds,positive_fold_ratio,recent_return_ann_pct,return_ann_std,return_pct_std,worst_fold_return_ann_pct,avg_drawdown_pct,profitable_symbol_ratio,avg_log_growth,log_growth_std,weekly_periods,weekly_positive_ratio,weekly_non_negative_ratio,weekly_avg_return_pct,weekly_median_return_pct,weekly_std_return_pct,weekly_worst_return_pct,weekly_best_return_pct,monthly_periods,monthly_positive_ratio,monthly_non_negative_ratio,monthly_avg_return_pct,monthly_median_return_pct,monthly_std_return_pct,monthly_worst_return_pct,monthly_best_return_pct,yearly_periods,yearly_positive_ratio,yearly_non_negative_ratio,yearly_avg_return_pct,yearly_median_return_pct,yearly_std_return_pct,yearly_worst_return_pct,yearly_best_return_pct
6,0.45,0.45,0.3,0.5,1,True,0.45,0.35,0.4,0.75,1.0,0.6,6.0,0.35,0.3,1,0.55,0.55,3,0.75,0.2,0.6,0.55,0.9,4.0,0.95,4.332429942466928,1283.745302058778,1283.745302058778,19.600258963640705,2781,1283.745302058778,1283.745302058778,19.600258963640705,2781,0,2.305677316066728,12,1.0,1366.2481895533656,1707.4376412763368,196.58851275209122,37.5495221109898,11.215268306637222,0.0,0.8792136631628202,0.6037667865501495,298,0.5973154362416108,0.6845637583892618,3.920998074213025,1.1504441950995536,8.711581415628155,-11.487929435843093,76.56117324097613,68,0.8088235294117647,0.8088235294117647,18.986455036964273,11.6365904193242,24.58173443214807,-6.618557860247309,109.80036078129274,6,1.0,1.0,933.3415917982205,257.53511760215144,1069.1026235721847,94.56903445075748,2543.5869158910896
2,0.45,0.15,0.45,0.5,2,False,0.45,0.45,0.3,1.0,1.2,0.9,5.0,0.45,0.1,1,0.25,0.65,3,0.55,0.2,0.82,0.55,0.6,2.0,0.95,-22.441249722421286,969.1633397931738,969.1633397931738,23.262470748977783,6904,969.1633397931738,969.1633397931738,23.262470748977783,6904,0,2.5051947317966823,12,1.0,829.6383402936076,1445.729363682871,185.44712892508636,7.292868083959715,15.313043196597041,0.0,0.7064957189206157,0.6201069558186653,298,0.5201342281879194,0.5268456375838926,3.2324668652279995,0.3203786045280821,9.155177293116077,-12.449498925250047,81.90260236750002,68,0.6911764705882353,0.6911764705882353,15.591982171703524,8.628903652592324,25.312158576612074,-10.971644768899914,108.7687323377176,6,1.0,1.0,767.443485799772,89.77585442780347,1048.9084008619213,48.16646267925873,2803.780639363504
3,0.45,0.25,0.45,0.2,1,True,0.45,0.15,0.4,0.9,1.0,0.9,4.0,0.45,0.3,2,0.25,0.45,1,0.65,0.4,0.6,0.35,0.75,4.0,0.95,-101.50172296840218,492.9218144133354,492.9218144133354,32.875878342286235,9168,492.9218144133354,492.9218144133354,32.875878342286235,9168,0,2.1786978410083644,12,0.8333333333333334,294.2675158375032,781.2365422181942,132.68752403954144,-19.74053218363275,18.746418164071475,0.0,0.4898746716318885,0.5641268499996819,298,0.5167785234899329,0.5201342281879194,2.2746549579391027,0.1032727209783979,8.212417896115346,-16.627149547010724,81.03778390997923,68,0.6617647058823529,0.6617647058823529,10.63533267905241,6.197681151064827,19.776605002283986,-15.249162967317897,81.42760816260626,6,0.8333333333333334,0.8333333333333334,373.70504779464403,63.24043385284365,517.1146644080844,-8.734589195795717,1406.9051704942626
5,0.65,0.45,0.45,0.3,2,False,0.65,0.25,0.4,0.9,1.0,0.75,6.0,0.35,0.2,1,0.25,0.65,1,0.55,0.3,0.72,0.35,0.6,3.0,0.95,-118.03442808890614,391.8254629278415,391.8254629278415,34.319433534751035,11026,391.8254629278415,391.8254629278415,34.319433534751035,11026,0,2.317485731969505,12,0.9166666666666666,230.3355739939948,566.5888512922365,108.97630806698702,-9.737074143797734,19.651554660856508,0.0,0.48369500295982154,0.5008910031742893,298,0.47651006711409394,0.4798657718120805,2.2928927370181142,-0.08190985889370839,8.954256454068421,-17.19267485096443,90.8866405926422,68,0.6617647058823529,0.6617647058823529,10.780409930932894,4.816958136933936,21.75890954020977,-16.219406842837756,91.7341213917063,6,0.8333333333333334,0.8333333333333334,328.4004803313482,70.16295493551912,455.3690615844715,-5.026579894811977,1269.9264541022428
1,0.55,0.15,0.55,0.4,2,True,0.75,0.35,0.4,1.0,1.2,0.6,6.0,0.35,0.2,1,0.35,0.45,3,0.55,0.4,0.72,0.35,0.9,2.0,0.8,-181.99255827325382,420.7606967360984,420.7606967360984,34.76479288185311,12854,420.7606967360984,420.7606967360984,34.76479288185311,12854,0,2.3556809812710227,12,0.6666666666666666,219.64612974786607,738.162754277965,125.16371182644217,-27.38351388702324,21.314115155847322,0.0,0.4299885176143658,0.5578013077044187,298,0.4597315436241611,0.46308724832214765,2.063063929536402,-0.31473973109382714,8.677106402492418,-15.825591797222383,73.89564667733556,68,0.5735294117647058,0.5735294117647058,9.862501222083855,3.05266538583322,22.510052070266976,-18.182537004960874,87.21294862317667,6,0.8333333333333334,0.8333333333333334,362.37500669617697,29.53933090439297,579.1825781929733,-0.8363588419965096,1593.315154994001
4,0.65,0.35,0.3,0.2,1,True,0.55,0.25,0.4,1.0,1.4,0.6,5.0,0.55,0.3,3,0.55,0.45,3,0.65,0.3,0.6,0.35,0.75,3.0,0.8,-431.94006708153773,2618.0988749679514,2618.0988749679514,29.33768363232786,7557,2618.0988749679514,2618.0988749679514,29.33768363232786,7557,0,2.3213143119113315,12,0.9166666666666666,525.3549695190321,4836.1093681705015,359.56410741742854,-0.3710665545870324,19.223630066136312,0.0,0.8635398454120903,0.8142332703352556,298,0.5570469798657718,0.5671140939597316,4.046585013196232,0.8687715083964709,11.185050897660151,-20.587513626075882,98.25957831624028,68,0.7205882352941176,0.7205882352941176,20.243428442910762,12.93741070746437,33.52813425581126,-16.115460330548792,155.29105069749812,6,1.0,1.0,1557.4247281707624,178.14252049411536,2144.8659095490157,30.88245773321916,5576.765491244173
